BatterySKU,Voltage,BatteryName,Badge,CycleLife,Amphours,WattHours,CosttoCharge,SortOrder,Weight,82DPC8A_1B,82DPC8A_2B,CHD1300_1B,CHD1300_2B,82CH62K_1-3B,82CH62K_4-6B
82BD250,82,2.5Ah Battery,STANDARD,N/R,2.5,205, ,1,3.70,38, ,,,,
82BD400,82,4.0Ah Battery,STANDARD,N/R,4.0,328, ,2,4.40,30, ,,,,
82BD500,82,5.0Ah Battery,STANDARD,N/R,5.0,410, ,3,6.10,38,,,,,
82BD800,82,8.0Ah Battery,HIGH CAPACITY,N/R,8.0,656, ,4,8.50,60,,,,,
CORE300,82,CORE300 4.0Ah Battery,OPTIMUS,2000,4.0,295, ,5,3.90,24,48,15,30,40,80
CORE360,82,CORE360 5.0Ah Battery,OPTIMUS,2000,5.0,360, ,6,4.40,55,95,40,55,73,130
CORE400,82,CORE400 5.5Ah Battery,OPTIMUS,2000,5.5,406, ,7,4.80,33,66,19,40,55,110
CORE530,82,CORE530 7.2Ah Battery,OPTIMUS,2000,7.2,532,  ,8,5.90,44,88,25,50,72,144
CORE700,82,CORE700 9.5Ah Battery,OPTIMUS,2000,9.5,701, ,9,7.00,75,150,40,80,110,220
82BBH12,82,12.0Ah Battery,HIGH CAPACITY;BACKPACK,N/R,12.0,984, ,10,N/R,90,,,,,
